stung
swung
slung
sting
stunk
stunt
nasty
hasty
pasty
tasty
haste
banal
canal
cabal
awoke
awake
spoil
spool
patty
batty
ratty
fatty
tatty
catty
bitty
spilt
stilt
spelt
spill
verse
terse
verge
verve
verso
price
trice
twice
truce
trace
tripe
trite
tribe
trick
droll
troll
about
abort
grain
train
drain
brain
trail
trait
cheat
wheat
cleat
chest
cheap
quick
quack
quirk
jumbo
gumbo
blend
blond
bland
blind
bleed
comic
conic
crate
irate
grate
spunk
slunk
skunk
stank
stink
stuck
utter
otter
grove
drove
prove
trove
glove
grave
grope
viper
riper
piper
crack
wrack
track
truck
tract
later
eater
cater
water
hater
basal
purse
nurse
curse
clout
flout
float
flour
order
odder
older
cavil
civil
foray
forty
enter
inter
inner
infer
fussy
hussy
husky
dally
sally
rally
tally
dilly
dolly
dully
daily
smile
smite
charm
chasm
chart
chard
gloss
floss
stuff
snuff
staff
stiff
feast
beast
least
yeast
blood
tense
tease
child
chili
chill
vital
viral
drool
droop
puppy
guppy
poppy
pulpy
pasta
paste
stood
stool
stoop
talon
salon
token
woken
woven
women
madly
badly
sadly
blink
tried
pried
dried
cried
fried
freed
downy
dowry
dowdy
stark
shark
spark
stork
stalk
stack
start
stare
clear
clean
clown
flown
blown
brown
baste
caste
waste
taste
force
farce
forte
forge
halve
valve
salve
safer
wafer
saner
leaky
leafy
mammy
mummy
mamma
skate
slate
state
press
cress
dress
dross
shack
whack
smack
snack
slack
shuck
shock
shank
allot
allow
alloy
flick
click
slick
chick
crick
cluck
clock
clack
clink
thorn
shorn
plead
pleat
stead
steed
steak
steal
steam
gusto
gusty
quark
crave
brave
brake
brace
bravo
gorge
forgo
regal
legal
renal
wring
bring
wrong
wrung
corer
cover
cower
there
where
theme
these
coach
roach
reach
while
whale
whole
white
whine
etude
elude
gross
cross
grass
stave
shave
slave
suave
stove
stage
stake
stale
purer
surer
parer
puree
clove
clone
close
macho
macro
hovel
novel
hotel
hover
pesky
perky
notch
botch
death
heath
depth
latch
hatch
match
batch
catch
patch
watch
frond
front
brass
crass
glass
grasp
chase
phase
bench
wench
bunch
beech
beach
belch
triad
bulge
bilge
budge
krill
frill
drill
grill
leach
teach
peach
retch
react
stern
stein
swami
swamp
began
vegan
begin
begun
begat
reset
beset
sleet
fleet
slice
spice
slide
slime
relay
delay
decay
class
clash
clasp
scale
shale
style
stole
stall
grant
giant
grunt
graft
grand
value
vague
scoop
snoop
swoop
sloop
stomp
papal
pupal
grout
trout
group
parry
marry
carry
harry
party
sworn
scorn
swoon
swore
sword
nutty
putty
shame
shake
shade
shape
share
gazer
gayer
gamer
basic
basis
basil
basin
spook
shook
spoof
spoon
wrote
write
juror
furor
brunt
blunt
touch
vouch
pouch
couch
conch
cough
soggy
foggy
leech
nasal
naval
natal
pluck
plunk
flirt
flint
rowdy
howdy
swine
twine
shine
spine
swing
rover
mover
lover
lever
liver
loser
lower
leant
leapt
leash
lease
liege
siege
birth
mirth
girth
slink
brink
blank
rhyme
thyme
whose
chose
those
chore
choke
corny
horny
cause
pause
flume
plume
flame
fluke
flute
alien
align
trope
bleat
bloat
bleak
baton
bacon
baron
adore
adobe
adorn
decor
decoy
lorry
worry
sorry
wordy
abide
aside
abode
table
cable
fable
small
shall
smell
prose
arose
arise
stray
spray
straw
strap
bread
dread
tread
dream
clank
flank
plank
crank
clang
anode
steel
steer
steep
chunk
chuck
chess
crest
fleck
flack
flock
shore
chord
homer
braid
brand
bluff
fluff
trend
audit
audio
hobby
lobby
bobby
pitch
taint
paint
faint
saint
taunt
demon
lemon
spike
spoke
spire
spite
spiky
alert
avert
brief
grief
piney
pinky
learn
yearn
gland
goose
loose
moose
noose
louse
house
rouse
mouse
lousy
musky
dusky
hunky
glaze
blaze
graze
glade
glare
forth
north
worth
logic
login
hilly
silly
filly
billy
willy
sully
silky
fifth
filth
fifty
chime
crime
chide
upset
unset
belly
jelly
bully
belle
great
treat
greet
baker
taker
maker
tamer
taper
taken
paper
shell
shawl
shalt
rural
mural
hello
cello
mealy
meaty
above
navel
gavel
slang
cling
clung
parse
crock
riser
river
rider
ripen
sniff
spade
shady
civic
nymph
lymph
tacky
wacky
cease
chafe
cream
creak
eager
wager
lager
winch
finch
pinch
cinch
punch
cloth
sloth
noise
poise
noisy
perch
peace
media
medic
thumb
thump
ramen
raven
ardor
arbor
armor
creek
cheek
creep
creed
axiom
axion
liken
linen
month
mouth
exact
enact
exalt
booby
boozy
booty
murky
mucky
lucid
lurid
fiber
finer
fixer
filer
vogue
rogue
splat
split
